Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,280.4252,100,34, WIN,5.311341
283.7484,309.9522,0,54, LOSS,
,311.1122,0,54, LOSS,
,312.3465,0,54, LOSS,
,313.553,0,54, LOSS,
,314.7383,0,54, LOSS,
,315.9337,0,54, LOSS,
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,334.0082,100,16, WIN,5.944222
339.8061,373.2158,0,72, LOSS,
,374.5015,0,72, LOSS,
,375.9955,0,72, LOSS,
,377.5365,0,72, LOSS,
,379.3036,0,72, LOSS,
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,307.8874, 100,20, WIN,4.712853
315.3201,387.416,0,64, LOSS
,390.8682,0,64, LOSS
,394.3067,0,64, LOSS
,397.1953,0,64, LOSS
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
