Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,557.2689,115,100, LOSS,
,558.6311,115,100, LOSS,
,560.0598,115,100, LOSS,
,561.4644,115,100, LOSS,
,562.9352,115,100, LOSS,
,564.2991,115,100, LOSS,
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,613.0969,110,100, LOSS,
,614.2408,110,100, LOSS,
,615.3689,110,100, LOSS,
,616.4758,110,100, LOSS,
,617.9764,110,100, LOSS,
,619.3863,110,100, LOSS,
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,556.888,110,96, LOSS
,558.1302,110,96, LOSS
,559.3665,110,96, LOSS
,560.5615,110,96, LOSS
,561.9586,110,96, LOSS
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
